,   Agencia Tributaria,,,,,,
,,,,,,,
Modelo 390,,Diseño de registro. Castellano.,,,,,
vers.1.02,,IVA,,,,,
Nº,Posic.,Lon,Tipo,Com,Descripción,Validación,Contenido
1,1,2,An,C,Inicio del identificador de modelo y página.,OBLIGATORIO,"Constante ""<T"""
2,3,3,Num,C,Modelo.,OBLIGATORIO,"Constante ""390"""
3,6,5,Num,C,Página.,OBLIGATORIO,"Constante ""05000"" "
4,11,1,An,C,Fin de identificador de modelo.,OBLIGATORIO,"Constante "">"" "
5,12,1,A,C,Indicador de página complementaria.,,"Blanco (No complementaria) o ""C"" (Complementaria)"
6,13,4,An,C,6. Operaciones Reg. Simplificado - Actividad 1 - Epígrafe I.A.E. [66],,
7,17,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 1,,  8 enteros 2 decimales
8,27,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 1,,15 enteros 2 decimales
9,44,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 2 ,,  8 enteros 2 decimales
10,54,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 2,,15 enteros 2 decimales
11,71,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 3 ,,  8 enteros 2 decimales
12,81,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 3,,15 enteros 2 decimales
13,98,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 4,,  8 enteros 2 decimales
14,108,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 4,,15 enteros 2 decimales
15,125,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 5,,  8 enteros 2 decimales
16,135,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 5,,15 enteros 2 decimales
17,152,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 6,,  8 enteros 2 decimales
18,162,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 6,,15 enteros 2 decimales
19,179,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - A - Nº unidades Módulo 7,,  8 enteros 2 decimales
20,189,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - B - Importe Módulo 7,,15 enteros 2 decimales
21,206,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - C- Cuota devengada operaciones corrientes ,,15 enteros 2 decimales
22,223,17,An,C,RESERVADO PARA LA A.E.A.T. (Dejar en blanco) ,,
23,240,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - D- Cuota soportadas operaciones corrientes ,,15 enteros 2 decimales
24,257,3,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - E - Índice corrector,,  1 enteros 2 decimales
25,260,17,N,C,6. Operaciones Reg. Simplificado - Actividad 1 - F - Resultado ,,15 enteros 2 decimales
26,277,5,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - G - % Cuota mínima,,  3 enteros 2 decimales
27,282,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - H - Devolución cuotas soportadas otros países,,15 enteros 2 decimales
28,299,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - I - Cuota mínima,,15 enteros 2 decimales
29,316,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 1 - Cuota derivada régimen simplificado [J1],,15 enteros 2 decimales
30,333,4,An,C,6. Operaciones Reg. Simplificado - Actividad 2 - Epígrafe I.A.E. [66],,
31,337,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 1,,  8 enteros 2 decimales
32,347,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 1,,15 enteros 2 decimales
33,364,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 2,,  8 enteros 2 decimales
34,374,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 2,,15 enteros 2 decimales
35,391,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 3,,  8 enteros 2 decimales
36,401,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 3,,15 enteros 2 decimales
37,418,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 4,,  8 enteros 2 decimales
38,428,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 4,,15 enteros 2 decimales
39,445,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 5,,  8 enteros 2 decimales
40,455,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 5,,15 enteros 2 decimales
41,472,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 6,,  8 enteros 2 decimales
42,482,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 6,,15 enteros 2 decimales
43,499,10,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - A - Nº unidades Módulo 7,,  8 enteros 2 decimales
44,509,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - B - Importe Módulo 7,,15 enteros 2 decimales
45,526,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - C- Cuota devengada operaciones corrientes ,,15 enteros 2 decimales
46,543,17,An,C,RESERVADO PARA LA A.E.A.T. (Dejar en blanco) ,,
47,560,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - D- Cuota soportadas operaciones corrientes ,,15 enteros 2 decimales
48,577,3,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - E - Índice corrector,,  1 enteros 2 decimales
49,580,17,N,C,6. Operaciones Reg. Simplificado - Actividad 2 - F - Resultado ,,15 enteros 2 decimales
50,597,5,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - G - % Cuota mínima,,  3 enteros 2 decimales
51,602,17,Num,C,6. Operaciones Reg. Simplificado - Actividad 2 - H - Devolución cuotas soportadas otros países,,15 enteros 2 decimales
